tile_name, IGNEOUS,METAMORPHIC, MINERAL,SEDIMENTARY
HP6415,0,14.29,0,0
HP6416,0,9.47,0,0
HP6417,0,2.41,0,0
HP6506,0,1.31,0,0
HP6507,0,4.48,0,0
HP6508,0,2.17,0,0
HP6509,0,1.9,0,0
HP6511,0,3.4,0,0
HP6512,0.29,10,0,0
HP6513,0.29,8.8,0,0
HP6514,0.69,3.27,0,0
HP6515,5.72,5.04,0,0
HP6516,8.15,3.26,0,0
HP6517,2.56,0.28,0,0
HP6606,0,0.06,0,0
HP6607,0,5.51,0,0
HP6608,0,2.12,0,0
HP6609,0,0.67,0,0
HP6611,0,4.02,0,0
HP6612,0,6.03,0,0
HP6613,0,9.33,0,0
HP6614,0,1.88,0,0
HP6615,7.95,0,0,0
HP6616,2.53,0.24,0,0
HP6617,1.12,0.34,0,0
HP6715,2.07,0,0,0
HP6716,0.07,0,0,0
HP6717,0.21,0.02,0,0
HT9338,0,0,0,6.97
HT9339,0,0,0,5.11
HT9340,0,0,0,1.52
HT9437,0,0,0,0
HT9438,0,0,0,35.2
HT9439,0,0,0,100
HT9440,0,0,0,38.39
HT9537,0,0,0,47.88
HT9538,0,0,0,66.04
HT9539,0,0,0,100
HT9540,0,0,0,66.31
HT9541,0,0,0,3.7
HT9636,0,0,0,7.78
HT9637,0,0,0,66.41
HT9638,0,0,0,100
HT9639,0,2.59,0,47.41
HT9640,0,5.87,0,34.08
HT9641,0,0.55,0,1.67
HT9736,0,0,0,4.26
HT9737,0,0,0,22.41
HT9738,0.18,8.07,0,6.51
HT9739,0,21.83,0,0.01
HT9740,2.03,8.56,0,0
HT9741,0,1.53,0,0
HU0964,0,0.18,0,0
HU0965,0,0.25,0,0
HU1065,0.05,0.52,0,0
HU1361,4.11,0,0,0
HU1460,0.57,0,0,0
HU1461,2.76,0,0,0
HU1462,2.38,0,0,0
HU1559,2.61,0,0,0
HU1560,14.91,0,0,0
HU1561,15.27,0,0,0
HU1562,6.72,0,0,0
HU1651,0,0,0,0.99
HU1652,0,0,0,2.46
HU1653,0,0,0,0.77
HU1655,0,0,0,12.12
HU1656,0,0.13,0,2.05
HU1659,5.39,0,0,0.04
HU1660,30.37,0,0,0
HU1661,11.2,0,0,0
HU1662,0.83,0,0,0
HU1749,0,0,0,0.19
HU1750,0,0,0,8.73
HU1751,0.13,0,0,10.85
HU1752,3.29,0,0,16.4
HU1753,0.01,0,0,7.71
HU1754,0.21,0,0,8.14
HU1755,0.01,0,0,17.75
HU1756,0.07,0.09,0,10.32
HU1757,0.12,0.26,0,6.96
HU1759,10.71,0,0,1.53
HU1760,24.98,0,0,2.44
HU1761,5.73,0,0,0
HU1762,1.16,0,0,0
HU1849,0,0,0,21.77
HU1850,0,0,0,100
HU1851,0,0,0,50
HU1852,1.14,0,0,23.86
HU1853,8.01,0,0,41.99
HU1854,0.02,0,0,49.98
