tile_name,percent,Texture,Tex_lvl
SK2383,0.47,Light,1
SK2700,0.03,Light,1
SK2701,0.03,Light,1
SK3205,1.97,Light,1
SK4172,0.11,Light,1
SK4270,3.22,Light,1
SK4472,0.87,Light,1
SK5550,80.52,Light,1
SK6515,15.17,Light,1
SK6703,0.02,Light,1
SK7349,0.48,Light,1
SK9806,0.66,Light,1
SN5810,0.01,Light,1
SN7304,0.32,Light,1
SN7305,0.14,Light,1
SO1024,0.87,Light,1
SO1137,1.7,Light,1
SY6081,0.51,Light,1
SY9190,8.74,Light,1
SY9290,1.85,Light,1
