"","tile_name","percent","Depth"
"178","NG7025",0.5,"Deep"
"179","NG7043",1.77,"Deep"
"180","NG7125",1.22,"Deep"
"181","NG7141",1.36,"Deep"
"182","NG7221",2.68,"Deep"
"183","NG7320",2.97,"Deep"
"184","NG7321",3.79,"Deep"
"185","NG7325",2.05,"Deep"
"186","NG7426",1.3,"Deep"
"187","NG8856",0.4,"Deep"
"188","NG8881",0.1,"Deep"
"189","NG9370",0.55,"Deep"
"190","NG9767",6.58,"Deep"
"191","NH0554",8.83,"Deep"
"192","NH0555",25,"Deep"
"193","NH0655",7.07,"Deep"
"194","NH1058",4.64,"Deep"
"195","NH1170",4.31,"Deep"
"196","NH1253",5.88,"Deep"
"197","NH1254",8.33,"Deep"
"198","NH1455",4.39,"Deep"
"199","NH1555",10.44,"Deep"
"200","NH1556",3.59,"Deep"
"201","NH1658",4.9,"Deep"
"202","NH1753",14.29,"Deep"
"203","NH1852",25,"Deep"
"204","NH1853",14.29,"Deep"
"205","NH1952",6.73,"Deep"
"206","NH1953",12.86,"Deep"
"207","NH1962",5.62,"Deep"
"208","NH1963",9.09,"Deep"
"209","NH1964",10.56,"Deep"
"210","NH1965",3.75,"Deep"
"211","NH2052",11.57,"Deep"
"212","NH2059",4.55,"Deep"
"213","NH2060",7.36,"Deep"
"214","NH2063",3.47,"Deep"
"215","NH2064",7,"Deep"
"216","NH2151",3.83,"Deep"
"217","NH2252",14.5,"Deep"
"218","NH2260",3.96,"Deep"
"219","NH2261",6.64,"Deep"
"220","NH2361",14.29,"Deep"
"221","NH2461",20,"Deep"
"222","NH2558",9.56,"Deep"
"223","NH2561",11,"Deep"
"224","NH2661",9.2,"Deep"
"225","NH2756",10.11,"Deep"
"226","NH2760",3.82,"Deep"
"227","NH2761",3.2,"Deep"
"228","NH2796",11.71,"Deep"
"229","NH2799",5.5,"Deep"
"230","NH2828",11.5,"Deep"
"231","NH2896",8.5,"Deep"
"232","NH2899",11.11,"Deep"
"233","NH2961",3.32,"Deep"
"234","NH2963",3.03,"Deep"
"235","NH2999",7.54,"Deep"
"236","NH3061",1.6,"Deep"
"237","NH3096",5.44,"Deep"
"238","NH3098",2.63,"Deep"
"239","NH3162",3.1,"Deep"
"240","NH3172",11,"Deep"
"241","NH3173",7.23,"Deep"
"242","NH3197",3.43,"Deep"
"243","NH3198",3.44,"Deep"
"244","NH3260",3.31,"Deep"
"245","NH3262",2.26,"Deep"
"246","NH3271",8.36,"Deep"
"247","NH3297",1.86,"Deep"
"248","NH3298",2.27,"Deep"
"249","NH3303",3.52,"Deep"
"250","NH3363",7.69,"Deep"
"251","NH3371",2.7,"Deep"
"252","NH3397",3.8,"Deep"
"253","NH3460",2.27,"Deep"
"254","NH3463",5.26,"Deep"
"255","NH3470",4.65,"Deep"
"256","NH3471",7.36,"Deep"
"257","NH3473",11.75,"Deep"
"258","NH3475",2.85,"Deep"
"259","NH3476",6.92,"Deep"
"260","NH3477",3.58,"Deep"
"261","NH3563",3.45,"Deep"
"262","NH3573",2.23,"Deep"
"263","NH3663",3.24,"Deep"
"264","NH3671",4.08,"Deep"
"265","NH3697",5.76,"Deep"
"266","NH3698",7.42,"Deep"
"267","NH3771",2.19,"Deep"
"268","NH3797",3.38,"Deep"
"269","NH3799",3.13,"Deep"
"270","NH3856",2.35,"Deep"
"271","NH3857",2.4,"Deep"
"272","NH3858",5.43,"Deep"
"273","NH3862",4.18,"Deep"
"274","NH3887",4.06,"Deep"
"275","NH3896",5.56,"Deep"
