tile_name,Anthropogentic,Geological,Hydrological,Landforms,Organic,Petrological,Weathering
HP6110,0,0,30.5,0,0,0,0
HP6111,0,0,24.66666667,0,0,0,0
HP6112,0,0,10,0,0.428571429,0,0
HP6113,0,0,14.5,0,0,0,2
HP6114,0,0,5.333333333,0,0,0,1
HP6115,0,0,5.666666667,0,7.666666667,0,0
HP6116,0,0,0,0,27,0,0
HP6117,0,0,0,0,28,0,0
HP6118,0,0,0,0,7,0,0
HP6200,0,0,16.16666667,0,0,0,0
HP6201,0,0,19.2,0,0,0,0
HP6202,0,0,1.75,0,0,0,0
HP6203,0,0,0.5,0,0,0,0
HP6204,0,0,8,0,0,0,0
HP6205,0,0,11.4,0,0,0,0
HP6206,0,0,17.75,0,0,0,0
HP6207,0,0,31,0,0,0,0
HP6208,0,0,9,0,0,0,0
HP6209,0,0,26.66666667,0,0,0,0
HP6210,0,0,8,0,0,0,0
HP6211,0,0,26.5,0,0,0,0
HP6212,0,0,13.85714286,0,0,0,0
HP6213,0,0,19.6,0,0,0,0
HP6214,0,0,48.5,0,0,0,0
HP6215,0,0,5.333333333,0,15.33333333,0,0
HP6216,0,0,0,0,15.33333333,0,0
HP6217,0,0,0,0,3.666666667,0,0
HP6300,0,0,9,0,0,0,0
HP6301,0,0,3.857142857,0,0,0,0
HP6305,0,0,2.666666667,0,0,0,0
HP6306,0,0,9,0,0,0,0
HP6307,0,0,24,0,0,0,0
HP6308,0,0,5.4,0,0,0,0
HP6309,0,0,17.75,0,0,0,0
HP6310,0,0.2,8,0,0,0,0
HP6311,0,0,3.166666667,0,0,0,0
HP6312,0,0,10.11235955,0,0,0,0
HP6313,0,0,24.75,0,0,0,0
HP6314,0,0,33.33333333,0,0,0,0
HP6315,0,0,18,0,15.33333333,0,0
HP6316,0,0,1.75,0,22.75,0,0
HP6317,0,0,0,0,6.4,0,0
HP6318,0,0,0,0,0,0,0
HP6406,0,0,1.498127341,0,0,0,0.24968789
HP6407,0,0,19.5,0,0,0,0
HP6408,0,0,1,0,0,0,0.4
HP6409,0,0,8,0,0,0,0
HP6410,0,0,4,0,0,0,0
HP6411,0,0,0.5,0,0,0,0
HP6412,0,0,13.16666667,0,0,0,0
HP6413,0,0,24,0,0,0,0
HP6414,0,0,15.66666667,0,0,0,0.833333333
HP6415,0,0,25,0,8.333333333,0,0
HP6416,0,0,6.666666667,0,23.33333333,0,0
HP6417,0,0,0,0,3.5,0,0
HP6506,0,0,1,0,0,0,0
HP6507,0,0,1,0,0,0,2
HP6508,0,0,0.873907615,0,0,0,0
HP6509,0,0,1.5,0,0,0,0
HP6511,0,0,0.25,0,0,0,0
HP6512,0,0,6.75,0,0,0,0
HP6513,0,0,13,0,0,0,0
HP6514,0,0,1.442841287,0,0,0,1.886792453
HP6515,0,0,43,0,0,0,0
HP6516,0,0,13.66666667,0,0,0,1.166666667
HP6517,0,0,4,0,0,0,0
HP6607,0,0,0.2,0,0,0,1
HP6608,0,0,1,0,0,0,0
HP6611,0,0,0.333333333,0,0,0,0
HP6612,0,0,4,0,0,0,0
HP6613,0,0.5,0,0,0,0,0
HP6615,0,0,6.333333333,0,0,0,2.5
