"","tile_name","Canal","River_length"
"259","HU3050",0,611
"260","HU3052",0,345
"261","HU3053",0,281
"262","HU3056",0,552
"263","HU3057",0,131
"264","HU3064",0,918
"265","HU3065",0,1142
"266","HU3066",0,505
"267","HU3067",0,124
"268","HU3071",0,104
"269","HU3072",0,1347
"270","HU3075",0,943
"271","HU3076",0,53
"272","HU3077",0,233
"273","HU3078",0,1765
"274","HU3079",0,1215
"275","HU3085",0,318
"276","HU3144",0,234
"277","HU3145",0,2026
"278","HU3146",0,467
"279","HU3149",0,67
"280","HU3150",0,49
"281","HU3151",0,2164
"282","HU3152",0,1558
"283","HU3153",0,707
"284","HU3156",0,0
"285","HU3157",0,967
"286","HU3158",0,121
"287","HU3164",0,342
"288","HU3165",0,281
"289","HU3166",0,330
"290","HU3167",0,160
"291","HU3171",0,732
"292","HU3172",0,117
"293","HU3173",0,70
"294","HU3174",0,313
"295","HU3175",0,0
"296","HU3176",0,1461
"297","HU3177",0,1751
"298","HU3178",0,29
"299","HU3179",0,209
"300","HU3181",0,1116
"301","HU3182",0,717
"302","HU3185",0,749
"303","HU3186",0,720
"304","HU3187",0,557
"305","HU3244",0,855
"306","HU3246",0,800
"307","HU3247",0,352
"308","HU3249",0,23
"309","HU3250",0,1852
"310","HU3251",0,239
"311","HU3252",0,638
"312","HU3253",0,2725
"313","HU3254",0,1124
"314","HU3255",0,756
"315","HU3256",0,623
"316","HU3257",0,8
"317","HU3258",0,0
"318","HU3262",0,539
"319","HU3263",0,748
"320","HU3264",0,2
"321","HU3265",0,3
"322","HU3266",0,1734
"323","HU3272",0,0
"324","HU3273",0,694
"325","HU3274",0,1429
"326","HU3276",0,991
"327","HU3277",0,242
"328","HU3278",0,399
"329","HU3281",0,68
"330","HU3282",0,383
"331","HU3286",0,420
"332","HU3287",0,105
"333","HU3348",0,1898
"334","HU3349",0,59
"335","HU3351",0,113
"336","HU3352",0,2169
"337","HU3353",0,497
"338","HU3355",0,1957
"339","HU3356",0,381
"340","HU3357",0,117
"341","HU3358",0,604
"342","HU3363",0,1243
"343","HU3364",0,653
"344","HU3365",0,1392
"345","HU3366",0,162
"346","HU3370",0,651
"347","HU3371",0,1118
"348","HU3372",0,667
"349","HU3373",0,475
"350","HU3374",0,620
"351","HU3375",0,529
"352","HU3376",0,123
"353","HU3378",0,0
"354","HU3379",0,120
"355","HU3380",0,1402
"356","HU3381",0,1171
"357","HU3382",0,718
"358","HU3384",0,1127
"359","HU3385",0,185
"360","HU3386",0,36
"361","HU3447",0,601
"362","HU3448",0,223
"363","HU3451",0,408
"364","HU3452",0,131
"365","HU3453",0,2147
"366","HU3454",0,1237
"367","HU3455",0,1610
"368","HU3456",0,73
"369","HU3457",0,513
"370","HU3464",0,236
"371","HU3466",0,1055
"372","HU3467",0,664
"373","HU3470",0,1487
"374","HU3471",0,1052
"375","HU3472",0,2746
"376","HU3473",0,2376
"377","HU3474",0,760
"378","HU3475",0,899
"379","HU3476",0,2228
"380","HU3477",0,1427
"381","HU3478",0,551
"382","HU3479",0,261
"383","HU3481",0,870
"384","HU3482",0,1926
"385","HU3483",0,33
"386","HU3484",0,1750
"387","HU3485",0,1173
"388","HU3486",0,713
"389","HU3488",0,980
"390","HU3489",0,1146
"391","HU3513",0,795
"392","HU3514",0,674
"393","HU3515",0,71
"394","HU3551",0,523
"395","HU3553",0,1806
"396","HU3554",0,139
"397","HU3555",0,134
"398","HU3557",0,118
"399","HU3561",0,220
"400","HU3568",0,436
"401","HU3570",0,285
"402","HU3571",0,406
"403","HU3572",0,299
"404","HU3573",0,1667
"405","HU3574",0,1187
"406","HU3577",0,2018
"407","HU3578",0,493
"408","HU3579",0,3522
"409","HU3580",0,29
"410","HU3581",0,760
"411","HU3582",0,52
"412","HU3583",0,652
"413","HU3584",0,997
"414","HU3585",0,1840
"415","HU3586",0,170
"416","HU3589",0,292
"417","HU3590",0,1250
"418","HU3591",0,542
"419","HU3613",0,1038
"420","HU3614",0,1412
"421","HU3615",0,1134
"422","HU3616",0,538
"423","HU3617",0,421
"424","HU3650",0,656
"425","HU3651",0,1119
"426","HU3652",0,367
"427","HU3653",0,1492
"428","HU3654",0,1792
"429","HU3655",0,1777
"430","HU3656",0,1367
"431","HU3657",0,2169
"432","HU3660",0,393
"433","HU3661",0,923
"434","HU3665",0,1807
"435","HU3666",0,1654
"436","HU3667",0,921
"437","HU3668",0,907
"438","HU3669",0,554
"439","HU3678",0,759
"440","HU3679",0,487
"441","HU3680",0,920
"442","HU3681",0,532
"443","HU3684",0,785
"444","HU3685",0,423
"445","HU3686",0,621
"446","HU3687",0,3796
"447","HU3688",0,630
"448","HU3689",0,1916
"449","HU3690",0,1528
"450","HU3691",0,713
"451","HU3692",0,52
"452","HU3712",0,841
"453","HU3713",0,1815
"454","HU3714",0,1186
"455","HU3715",0,3014
"456","HU3716",0,0
"457","HU3717",0,711
"458","HU3718",0,39
"459","HU3719",0,1154
"460","HU3720",0,900
"461","HU3721",0,792
"462","HU3722",0,261
"463","HU3723",0,799
"464","HU3724",0,726
"465","HU3749",0,456
"466","HU3750",0,187
"467","HU3754",0,367
"468","HU3755",0,48
"469","HU3757",0,2017
"470","HU3758",0,552
"471","HU3760",0,523
"472","HU3761",0,1116
"473","HU3762",0,1152
"474","HU3767",0,1184
"475","HU3769",0,942
"476","HU3770",0,2452
"477","HU3772",0,346
"478","HU3789",0,436
"479","HU3790",0,1413
