"","tile_name","HF"
"319","HU3486",1
"320","HU3488",1
"321","HU3513",1
"322","HU3514",2
"323","HU3515",1
"324","HU3551",4
"325","HU3553",4
"326","HU3554",1
"327","HU3555",1
"328","HU3557",1
"329","HU3561",2
"330","HU3568",1
"331","HU3570",2
"332","HU3571",1
"333","HU3572",1
"334","HU3573",7
"335","HU3574",1
"336","HU3577",10
"337","HU3578",5
"338","HU3579",14
"339","HU3580",1
"340","HU3581",3
"341","HU3582",1
"342","HU3583",3
"343","HU3584",2
"344","HU3585",1
"345","HU3586",1
"346","HU3589",1
"347","HU3591",1
"348","HU3614",3
"349","HU3616",1
"350","HU3617",2
"351","HU3651",3
"352","HU3652",1
"353","HU3653",1
"354","HU3654",1
"355","HU3655",1
"356","HU3657",5
"357","HU3661",4
"358","HU3665",7
"359","HU3666",4
"360","HU3667",1
"361","HU3668",2
"362","HU3669",1
"363","HU3678",2
"364","HU3679",2
"365","HU3680",4
"366","HU3681",2
"367","HU3684",9
"368","HU3685",7
"369","HU3686",3
"370","HU3687",16
"371","HU3688",3
"372","HU3689",8
"373","HU3690",7
"374","HU3691",3
"375","HU3712",3
"376","HU3713",1
"377","HU3714",3
"378","HU3715",7
"379","HU3716",1
"380","HU3717",2
"381","HU3718",1
"382","HU3719",3
"383","HU3720",4
"384","HU3721",5
"385","HU3723",5
"386","HU3724",1
"387","HU3749",1
"388","HU3750",1
"389","HU3754",1
"390","HU3757",2
"391","HU3758",1
"392","HU3760",1
"393","HU3761",2
"394","HU3762",1
"395","HU3769",10
"396","HU3770",13
"397","HU3772",1
"398","HU3790",5
"399","HU3791",1
"400","HU3792",1
"401","HU3812",2
"402","HU3813",1
"403","HU3814",2
"404","HU3815",3
"405","HU3816",6
"406","HU3817",1
"407","HU3819",1
"408","HU3820",1
"409","HU3821",9
"410","HU3822",4
"411","HU3823",2
"412","HU3825",1
"413","HU3844",2
"414","HU3849",1
"415","HU3850",3
"416","HU3851",3
"417","HU3867",1
"418","HU3871",2
"419","HU3872",8
"420","HU3873",1
"421","HU3876",1
"422","HU3913",10
"423","HU3914",4
"424","HU3915",1
"425","HU3916",5
"426","HU3917",3
"427","HU3920",1
"428","HU3921",1
"429","HU3922",5
"430","HU3923",1
"431","HU3924",1
"432","HU3925",1
"433","HU3929",1
"434","HU3936",1
"435","HU3937",3
"436","HU3939",2
"437","HU3940",1
"438","HU3952",9
"439","HU3953",10
"440","HU3954",4
"441","HU3955",7
"442","HU3959",2
"443","HU3961",7
"444","HU3962",1
"445","HU3972",7
"446","HU3973",4
"447","HU3975",7
"448","HU3976",3
"449","HU4012",5
"450","HU4013",5
"451","HU4014",1
"452","HU4015",3
"453","HU4016",2
"454","HU4017",2
"455","HU4018",1
"456","HU4020",10
"457","HU4021",1
"458","HU4022",2
"459","HU4023",1
"460","HU4024",3
"461","HU4027",1
"462","HU4034",3
"463","HU4035",2
"464","HU4037",7
"465","HU4039",1
"466","HU4040",3
"467","HU4041",1
"468","HU4042",1
"469","HU4050",1
"470","HU4052",3
"471","HU4053",1
"472","HU4054",4
"473","HU4055",2
"474","HU4056",3
"475","HU4059",1
"476","HU4060",1
"477","HU4062",2
"478","HU4063",7
"479","HU4064",19
"480","HU4065",28
"481","HU4066",5
