tile_name,MEAN_elev
SS2306,62.075
SS2307,80.96875
SS2308,105.3475
SS2309,137.011875
SS2310,136.06625
SS2311,85.705
SS2312,132.77375
SS2313,136.300625
SS2314,164.760625
SS2315,176.215
SS2316,140.864375
SS2317,132.831875
SS2318,143.0525
SS2319,128.93125
SS2320,162.004375
SS2321,140.465625
SS2322,103.645625
SS2323,102.544375
SS2324,86.024375
SS2325,82.224375
SS2326,81.485
SS2327,53.088125
SS2328,0
SS2329,0
SS2400,57.49
SS2401,57.06375
SS2402,59.73125
SS2403,69.90625
SS2404,83.044375
SS2405,92.004375
SS2406,90.134375
SS2407,124.10875
SS2408,111.781875
SS2409,150.001875
SS2410,148.7125
SS2411,129.261875
SS2412,149.04375
SS2413,156.835625
SS2414,175.6575
SS2415,180.224375
SS2416,168.62625
SS2417,171.619375
SS2418,164.205
SS2419,148.981875
SS2420,178.44
SS2421,137.05375
SS2422,119.3225
SS2423,117.8225
SS2424,93.09125
SS2425,112.855
SS2426,98.949375
SS2427,41.18
SS2428,0
SS2429,0
SS2500,85.119375
SS2501,73.849375
SS2502,80.079375
SS2503,95.51875
SS2504,100.3125
SS2505,110.171875
SS2506,120.88
SS2507,139.645625
SS2508,135.4025
SS2509,131.5625
SS2510,149.20375
SS2511,164.329375
SS2512,173.220625
SS2513,180.25875
SS2514,187.57625
SS2515,210.33125
SS2516,195.95375
SS2517,180.08375
SS2518,193.481875
SS2519,165.724375
SS2520,186.770625
SS2521,149.795
SS2522,134.9525
SS2523,119.714375
SS2524,95.4
SS2525,124.090625
SS2526,108.85625
SS2527,65.65375
SS2528,0
SS2529,0
SS2600,113.965
SS2601,102.175625
SS2602,113.353125
SS2603,122.410625
SS2604,117.428125
SS2605,121.94125
SS2606,126.77
SS2607,142.3925
SS2608,137.90625
SS2609,157.38875
SS2610,152.938125
SS2611,159.254375
SS2612,177.604375
SS2613,176.934375
SS2614,192.9025
SS2615,208.185
SS2616,204.888125
SS2617,209.27125
SS2618,195.723125
SS2619,196.96375
SS2620,194.0325
SS2621,168.925
SS2622,156.41125
SS2623,143.634375
SS2624,113.53125
SS2625,126.8925
SS2626,134.1775
SS2627,72.29875
SS2628,0
SS2629,0
SS2700,101.274375
SS2701,103.0175
SS2702,103.899375
SS2703,109.523125
SS2704,107.983125
SS2705,118.75125
SS2706,119.359375
SS2707,124.63
SS2708,131.613125
SS2709,139.866875
SS2710,136.561875
SS2711,151.44
SS2712,161.535625
SS2713,178.384375
SS2714,181.119375
SS2715,198.381875
SS2716,201.594375
SS2717,191.850625
SS2718,182.923125
SS2719,192.02875
SS2720,181.88625
SS2721,192.245625
SS2722,177.80625
SS2723,161.365
SS2724,126.46625
SS2725,150.39625
SS2726,147.36625
SS2727,33.783125
SS2728,0
SS2729,0
SS2800,114.060625
SS2801,119.29625
SS2802,123.701875
SS2803,130.72125
SS2804,108.121875
SS2805,109.408125
SS2806,117.688125
SS2807,118.290625
SS2808,122.009375
SS2809,140.670625
SS2810,143.24625
SS2811,162.129375
SS2812,158.181875
SS2813,177.588125
SS2814,194.35125
SS2815,198.2275
SS2816,197.19
SS2817,180.8275
SS2818,167.479375
SS2819,176.835625
SS2820,169.25625
SS2821,185.33
SS2822,193.123125
SS2823,165.129375
SS2824,146.388125
SS2825,141.860625
SS2826,89.716875
SS2827,0
SS2828,0
SS2829,0
SS2900,111.440625
SS2901,113.265625
SS2902,115.480625
SS2903,124.45
SS2904,113.7775
SS2905,125.913125
SS2906,131.81875
SS2907,130.205
SS2908,133.93125
SS2909,145.473125
SS2910,137.00375
SS2911,152.390625
SS2912,169.596875
SS2913,187.644375
SS2914,209.30125
SS2915,200.69
SS2916,205.013125
SS2917,193.4375
SS2918,160.425625
SS2919,165.2025
SS2920,166.93875
SS2921,195.09625
SS2922,201.935
SS2923,180.49
SS2924,150.035
SS2925,90.405
SS2926,48.44625
SS2927,0
SS2928,0
SS2929,0
SS3000,107.044375
SS3001,107.335625
SS3002,116.540625
SS3003,126.6325
SS3004,129.184375
SS3005,126.795
SS3006,128.77875
SS3007,136.66625
SS3008,144.2425
SS3009,147.23375
SS3010,148.43125
SS3011,163.51875
SS3012,185.910625
SS3013,190.286875
SS3014,194.569375
SS3015,195.559375
SS3016,213.818125
SS3017,177.0925
SS3018,152.684375
SS3019,163.566875
SS3020,177.063125
SS3021,183.13125
SS3022,199.038125
SS3023,187.17875
SS3024,149.7025
SS3025,89.88
SS3026,14.429375
SS3027,0
SS3028,0
SS3029,0
SS3080,0
SS3081,0
SS3082,0
SS3083,0
SS3084,0
SS3085,0
SS3086,0
SS3087,0
SS3088,0
SS3089,0
SS3090,0
SS3091,0
SS3092,0
SS3100,111.37125
SS3101,121.050625
SS3102,137.736875
SS3103,148.62625
SS3104,142.824375
SS3105,143.6075
SS3106,140.63
SS3107,136.431875
SS3108,152.420625
SS3109,171.05125
SS3110,163.144375
SS3111,180.37
SS3112,186.65375
SS3113,170.95
SS3114,178.5625
SS3115,197.403125
SS3116,207.66875
SS3117,166.57625
SS3118,161.22
SS3119,177.1175
SS3120,194.7875
SS3121,187.150625
SS3122,190.495625
SS3123,199.16625
SS3124,140.165625
SS3125,30.14125
SS3126,0
SS3127,0
SS3128,0
SS3129,0
SS3180,0
SS3181,0
SS3182,0
SS3183,0
SS3184,0
SS3185,0
SS3186,0
SS3187,0
SS3188,0
SS3189,0
SS3190,0
SS3191,0
SS3192,0
SS3200,102.76375
SS3201,120.691875
SS3202,123.731875
SS3203,145.49
SS3204,137.46875
SS3205,126.35625
SS3206,143.168125
SS3207,143.344375
SS3208,157.258125
SS3209,181.081875
SS3210,176.635625
